idx	slug	in	out	dur
01	cancer_boss	35.05	60.05	25.0
03	hand-enemies-middle-finger	43.2	67.05	23.8
05	deathbird-clutch-win	51.02	76.02	25.0
07	rennala-queen-betrayed-us	64	91	27
08	rennala-goku-transform	67.02	92.02	25.0
a01	walked-into-this-shit-bell-hunter	20.08	45.08	25.0
a02	instant-karma-erdtree-avatar	20.19	46.02	25.8
a03	these-guys-are-bullshit	23.05	48.05	25.0
a04	india-not-for-beginners	38	63	25
a06	i-hate-this-guy-round-two	37.06	64.02	27.0
a07	stonedagger-troll-meltdown	22.02	47.02	25.0
a08	dangerous-bear	38.02	63.02	25.0
a09	godrick-the-grafted	12	37	25
a12	margit-house-party-tilt	29.08	54.08	25.0
a14	nights-cavalry-chase	17.7	43.02	25.3
a15	bloodhound-knight-darriwil	18.05	43.05	25.0
a16	tree-sentinel-close	69.96	95.03	25.1
a17	antlered-spirit-kill	22.03	47.03	25.0
a18	falls-to-death-ledge	13.02	38.02	25.0
a19	rennala-phase-2-magic	22.05	47.05	25.0
a20	rennala-meteor-reaction	34.09	60.02	25.9
a22	patches-fake-surrender	39.08	64.02	24.9
